scope_type,scope_code,cohort_year,cohort_parcels,sold_within_12_months,rate_pct,reason
commune,35338,2023,13,4,,support insuffisant : 13 < 200
commune,35339,2023,6,1,,support insuffisant : 6 < 200
commune,35340,2023,10,5,,support insuffisant : 10 < 200
commune,35342,2023,4,1,,support insuffisant : 4 < 200
commune,35343,2023,15,6,,support insuffisant : 15 < 200
commune,35345,2023,10,2,,support insuffisant : 10 < 200
commune,35346,2023,2,0,,support insuffisant : 2 < 200
commune,35347,2023,26,5,,support insuffisant : 26 < 200
commune,35350,2023,8,3,,support insuffisant : 8 < 200
commune,35351,2023,18,5,,support insuffisant : 18 < 200
commune,35352,2023,70,29,,support insuffisant : 70 < 200
commune,35353,2023,53,22,,support insuffisant : 53 < 200
commune,35354,2023,3,1,,support insuffisant : 3 < 200
commune,35355,2023,10,5,,support insuffisant : 10 < 200
commune,35356,2023,15,3,,support insuffisant : 15 < 200
commune,35357,2023,8,3,,support insuffisant : 8 < 200
commune,35358,2023,12,6,,support insuffisant : 12 < 200
commune,35359,2023,15,3,,support insuffisant : 15 < 200
commune,35360,2023,265,82,30.9,
commune,35361,2023,21,7,,support insuffisant : 21 < 200
commune,35362,2023,16,3,,support insuffisant : 16 < 200
commune,35363,2023,42,12,,support insuffisant : 42 < 200
departement,35,2024,9653,3424,35.5,
epci,200038990,2024,261,103,39.5,
epci,200039022,2024,807,297,36.8,
epci,200043990,2024,366,128,35.0,
epci,200070662,2024,285,100,35.1,
epci,200070670,2024,266,88,33.1,
epci,200070688,2024,210,78,37.1,
epci,200072452,2024,601,217,36.1,
epci,243500139,2024,2971,1065,35.8,
epci,243500550,2024,229,88,38.4,
epci,243500618,2024,182,62,,support insuffisant : 182 < 200
epci,243500634,2024,301,108,35.9,
epci,243500659,2024,276,112,40.6,
epci,243500667,2024,337,140,41.5,
epci,243500725,2024,544,151,27.8,
epci,243500733,2024,318,98,30.8,
epci,243500741,2024,299,113,37.8,
epci,243500774,2024,266,92,34.6,
epci,243500782,2024,1134,384,33.9,
commune,35001,2024,67,25,,support insuffisant : 67 < 200
commune,35002,2024,14,6,,support insuffisant : 14 < 200
commune,35003,2024,7,1,,support insuffisant : 7 < 200
commune,35004,2024,42,11,,support insuffisant : 42 < 200
commune,35005,2024,3,0,,support insuffisant : 3 < 200
commune,35006,2024,48,20,,support insuffisant : 48 < 200
commune,35007,2024,7,3,,support insuffisant : 7 < 200
commune,35008,2024,8,1,,support insuffisant : 8 < 200
commune,35009,2024,19,7,,support insuffisant : 19 < 200
commune,35010,2024,6,3,,support insuffisant : 6 < 200
commune,35012,2024,72,27,,support insuffisant : 72 < 200
commune,35013,2024,28,15,,support insuffisant : 28 < 200
commune,35014,2024,14,7,,support insuffisant : 14 < 200
commune,35015,2024,13,6,,support insuffisant : 13 < 200
commune,35016,2024,22,9,,support insuffisant : 22 < 200
commune,35017,2024,12,4,,support insuffisant : 12 < 200
commune,35018,2024,10,3,,support insuffisant : 10 < 200
commune,35019,2024,21,4,,support insuffisant : 21 < 200
commune,35021,2024,10,3,,support insuffisant : 10 < 200
commune,35022,2024,14,3,,support insuffisant : 14 < 200
commune,35023,2024,37,14,,support insuffisant : 37 < 200
commune,35024,2024,91,35,,support insuffisant : 91 < 200
commune,35025,2024,11,5,,support insuffisant : 11 < 200
commune,35026,2024,2,2,,support insuffisant : 2 < 200
commune,35027,2024,21,5,,support insuffisant : 21 < 200
commune,35028,2024,2,1,,support insuffisant : 2 < 200
commune,35029,2024,13,8,,support insuffisant : 13 < 200
commune,35030,2024,7,0,,support insuffisant : 7 < 200
commune,35031,2024,49,15,,support insuffisant : 49 < 200
commune,35032,2024,33,14,,support insuffisant : 33 < 200
commune,35033,2024,34,15,,support insuffisant : 34 < 200
commune,35034,2024,7,2,,support insuffisant : 7 < 200
commune,35035,2024,3,2,,support insuffisant : 3 < 200
commune,35037,2024,53,20,,support insuffisant : 53 < 200
commune,35038,2024,7,3,,support insuffisant : 7 < 200
commune,35039,2024,23,11,,support insuffisant : 23 < 200
commune,35040,2024,36,17,,support insuffisant : 36 < 200
commune,35041,2024,9,4,,support insuffisant : 9 < 200
commune,35042,2024,7,3,,support insuffisant : 7 < 200
commune,35044,2024,5,3,,support insuffisant : 5 < 200
commune,35045,2024,5,2,,support insuffisant : 5 < 200
commune,35046,2024,3,2,,support insuffisant : 3 < 200
commune,35047,2024,158,58,,support insuffisant : 158 < 200
commune,35049,2024,102,34,,support insuffisant : 102 < 200
commune,35050,2024,6,2,,support insuffisant : 6 < 200
commune,35051,2024,140,47,,support insuffisant : 140 < 200
commune,35052,2024,3,1,,support insuffisant : 3 < 200
commune,35054,2024,9,4,,support insuffisant : 9 < 200
commune,35055,2024,67,21,,support insuffisant : 67 < 200
commune,35056,2024,2,1,,support insuffisant : 2 < 200
commune,35057,2024,22,6,,support insuffisant : 22 < 200
commune,35058,2024,10,2,,support insuffisant : 10 < 200
commune,35059,2024,35,12,,support insuffisant : 35 < 200
commune,35060,2024,11,6,,support insuffisant : 11 < 200
commune,35061,2024,3,1,,support insuffisant : 3 < 200
commune,35062,2024,18,6,,support insuffisant : 18 < 200
commune,35063,2024,2,1,,support insuffisant : 2 < 200
commune,35064,2024,9,5,,support insuffisant : 9 < 200
commune,35065,2024,21,11,,support insuffisant : 21 < 200
commune,35066,2024,92,36,,support insuffisant : 92 < 200
commune,35067,2024,10,5,,support insuffisant : 10 < 200
commune,35068,2024,67,26,,support insuffisant : 67 < 200
commune,35069,2024,125,55,,support insuffisant : 125 < 200
commune,35070,2024,30,11,,support insuffisant : 30 < 200
commune,35071,2024,1,0,,support insuffisant : 1 < 200
commune,35072,2024,18,8,,support insuffisant : 18 < 200
commune,35075,2024,6,5,,support insuffisant : 6 < 200
commune,35076,2024,47,19,,support insuffisant : 47 < 200
commune,35077,2024,4,2,,support insuffisant : 4 < 200
commune,35078,2024,15,5,,support insuffisant : 15 < 200
commune,35079,2024,18,6,,support insuffisant : 18 < 200
commune,35080,2024,26,12,,support insuffisant : 26 < 200
commune,35081,2024,6,5,,support insuffisant : 6 < 200
commune,35082,2024,15,6,,support insuffisant : 15 < 200
commune,35084,2024,8,3,,support insuffisant : 8 < 200
commune,35085,2024,69,30,,support insuffisant : 69 < 200
commune,35086,2024,5,2,,support insuffisant : 5 < 200
commune,35087,2024,11,3,,support insuffisant : 11 < 200
commune,35088,2024,31,8,,support insuffisant : 31 < 200
commune,35089,2024,2,0,,support insuffisant : 2 < 200
commune,35090,2024,35,13,,support insuffisant : 35 < 200
commune,35091,2024,6,5,,support insuffisant : 6 < 200
commune,35092,2024,5,2,,support insuffisant : 5 < 200
commune,35093,2024,316,72,22.8,
commune,35094,2024,16,7,,support insuffisant : 16 < 200
commune,35095,2024,77,25,,support insuffisant : 77 < 200
commune,35096,2024,16,8,,support insuffisant : 16 < 200
commune,35097,2024,14,5,,support insuffisant : 14 < 200
commune,35098,2024,6,2,,support insuffisant : 6 < 200
commune,35099,2024,35,12,,support insuffisant : 35 < 200
commune,35101,2024,12,3,,support insuffisant : 12 < 200
commune,35102,2024,4,2,,support insuffisant : 4 < 200
commune,35103,2024,4,0,,support insuffisant : 4 < 200
commune,35104,2024,13,5,,support insuffisant : 13 < 200
commune,35105,2024,28,7,,support insuffisant : 28 < 200
commune,35106,2024,12,3,,support insuffisant : 12 < 200
commune,35107,2024,24,7,,support insuffisant : 24 < 200
commune,35108,2024,11,5,,support insuffisant : 11 < 200
commune,35109,2024,15,3,,support insuffisant : 15 < 200
commune,35110,2024,2,1,,support insuffisant : 2 < 200
commune,35111,2024,4,1,,support insuffisant : 4 < 200
commune,35115,2024,261,92,35.2,
commune,35116,2024,25,7,,support insuffisant : 25 < 200
commune,35117,2024,10,4,,support insuffisant : 10 < 200
