scope_type,scope_code,mutations,mutations_without_allocatable_price,share_without_allocatable_price_pct,diagnostics,diagnostics_without_building,share_without_building_pct,reason
commune,35342,104,43,41.3,18,4,22.2,
commune,35343,322,110,34.2,122,45,36.9,
commune,35344,83,26,31.3,0,0,,aucune observation
commune,35345,259,75,29.0,75,29,38.7,
commune,35346,63,21,33.3,28,10,35.7,
commune,35347,730,283,38.8,275,112,40.7,
commune,35348,38,9,23.7,0,0,,aucune observation
commune,35350,207,89,43.0,72,19,26.4,
commune,35351,245,60,24.5,126,30,23.8,
commune,35352,1883,854,45.4,1088,364,33.5,
commune,35353,1493,953,63.8,1013,234,23.1,
commune,35354,142,68,47.9,31,10,32.3,
commune,35355,403,145,36.0,143,57,39.9,
commune,35356,577,132,22.9,217,95,43.8,
commune,35357,170,97,57.1,46,19,41.3,
commune,35358,326,72,22.1,149,73,49.0,
commune,35359,239,105,43.9,88,27,30.7,
commune,35360,4587,1940,42.3,5389,1799,33.4,
commune,35361,322,98,30.4,177,65,36.7,
commune,35362,397,156,39.3,146,36,24.7,
commune,35363,1006,497,49.4,597,204,34.2,
